FIPSCode,deathsTotal,deathsTotalMonthly,deathsDiffAbs,deathsDiffPct
29163,1032,1025,7,0.03571428571428581
29165,3585,3585,0,0
29167,1840,1840,0,0
29169,1649,1649,0,0
29171,364,65,80,Inf
29173,491,200,71,5.461538461538462
29175,1459,1459,0,0
29177,1326,1326,0,0
29179,441,154,70,6.090909090909091
29181,954,940,9,0.04972375690607733
29183,14861,14861,0,0
29185,715,605,36,0.4444444444444444
29186,983,977,6,0.03208556149732611
29187,3914,3914,0,0
29189,51510,51510,0,0
29195,1278,1278,0,0
29197,264,10,59,Inf
29199,285,33,58,Inf
29201,2236,2236,0,0
29203,490,180,75,5
29205,413,77,76,Inf
29207,2011,2011,0,0
29209,2043,2043,0,0
29211,353,90,66,5.181818181818182
29213,3048,3048,0,0
29215,1588,1588,0,0
29217,1249,1249,0,0
29219,1535,1535,0,0
29221,1487,1487,0,0
29223,957,927,13,0.08965517241379306
29225,1799,1799,0,0
29227,158,11,35,Inf
29229,1269,1269,0,0
29510,15176,15176,0,0
30001,447,130,70,6.363636363636363
30003,709,591,40,0.402061855670103
30005,343,37,74,Inf
30007,304,12,62,Inf
30009,533,304,59,1.2553191489361701
30011,NA,0,NA,NA
30013,4484,4484,0,0
30015,295,35,63,Inf
30017,705,556,51,0.6071428571428572
30019,107,0,25,Inf
30021,470,172,88,Inf
30023,621,450,45,0.5890410958904109
30025,155,0,36,Inf
30027,784,694,34,0.35051546391752586
30029,4595,4595,0,0
30031,3599,7044,-108,-0.16338880484114982
30033,NA,0,NA,NA
30035,708,599,37,0.45679012345679015
30037,NA,0,NA,NA
30039,162,0,37,Inf
30041,761,642,40,0.3571428571428572
30043,510,283,59,2.269230769230769
30045,94,0,25,Inf
30047,1587,1587,0,0
30049,3136,3136,0,0
30051,91,0,29,Inf
30053,1250,1250,0,0
30055,97,0,24,Inf
30057,435,173,66,Inf
30059,118,0,28,Inf
30061,279,11,61,Inf
30063,4527,4527,0,0
30065,302,22,64,Inf
30069,NA,0,NA,NA
30071,270,42,50,Inf
30073,378,95,70,Inf
30075,101,0,24,Inf
30077,398,121,62,4.916666666666667
30079,99,0,24,Inf
30081,2342,2342,0,0
30083,449,107,75,7.5
30085,642,467,49,0.5975609756097562
30087,463,188,67,5.153846153846154
30089,776,715,21,0.15671641791044766
30091,238,10,50,Inf
30093,2124,2124,0,0
30095,438,158,65,5.416666666666667
30097,186,0,48,Inf
30099,328,62,63,Inf
30101,265,0,70,Inf
30103,NA,0,NA,NA
30105,451,140,67,3.1904761904761907
30107,141,0,36,Inf
30109,84,0,20,Inf
30111,7812,7812,0,0
31001,1596,1596,0,0
31003,376,96,66,Inf
31005,NA,0,NA,NA
31007,NA,0,NA,NA
31009,NA,0,NA,NA
31011,337,52,75,Inf
31013,601,379,58,1.074074074074074
31015,173,0,41,Inf
31017,187,0,40,Inf
31019,1830,1830,0,0
31021,473,201,60,1.7142857142857144
31023,550,337,55,1.1458333333333335
31025,1172,1172,0,0
31027,526,241,71,2.6296296296296298
31029,263,20,54,Inf
31031,328,43,67,Inf
31033,496,219,76,3.04
31035,356,63,67,Inf
31037,389,58,74,Inf
31039,485,242,69,2.875
31041,620,389,72,2.88
31043,836,778,17,0.125
31045,454,160,76,6.333333333333333
31047,1048,1004,18,0.10119047619047628
31049,119,0,27,Inf
31051,316,10,72,Inf
31053,2263,2263,0,0
31055,20761,20761,0,0
31057,129,0,31,Inf
31059,407,136,64,5.3
31061,202,0,45,Inf
31063,98,0,23,Inf
31065,325,10,71,Inf
31067,1375,1375,0,0
31069,155,0,41,Inf
31071,190,0,44,Inf
31073,122,0,26,Inf
31075,NA,0,NA,NA
31077,151,0,39,Inf
31079,2850,2850,0,0
31081,416,123,72,6
31083,212,0,48,Inf
31085,NA,0,NA,NA
31087,198,0,43,Inf
31089,643,505,44,0.676923076923077
31091,79,0,23,Inf
31093,367,84,67,5.5
31095,535,279,72,3
31097,343,22,72,Inf
31099,380,61,80,Inf
31101,475,167,68,2.8181818181818183
31103,NA,0,NA,NA
31105,279,0,64,Inf
31107,542,280,70,2.8
31109,11246,11246,0,0
31111,1912,1912,0,0
31113,NA,0,NA,NA
31115,NA,0,NA,NA
31117,NA,0,NA,NA
31119,1864,1864,0,0
31121,429,173,70,5.833333333333333
31123,300,10,64,Inf
31125,274,10,65,Inf
31127,418,109,78,7.800000000000001
31129,319,52,61,Inf
31131,887,855,15,0.0931677018633541
31133,185,0,41,Inf
31135,174,0,38,Inf
31137,578,345,70,2
31139,363,45,73,Inf
31141,1480,1480,0,0
31143,301,14,73,Inf
31145,672,513,50,0.6756756756756757
31147,595,404,55,0.9166666666666667
31149,124,0,29,Inf
31151,722,555,43,0.49425287356321834
31153,5044,5044,0,0
31155,1107,1099,8,0.03883495145631066
31157,2147,2147,0,0
31159,891,849,16,0.1151079136690647
31161,390,87,65,Inf
31163,210,0,51,Inf
31165,NA,0,NA,NA
31167,219,0,48,Inf
31169,404,89,71,Inf
31171,NA,0,NA,NA
31173,419,101,75,Inf
31175,272,10,60,Inf
31177,935,917,9,0.05454545454545445
31179,347,62,62,Inf
31181,307,44,60,Inf
31183,NA,0,NA,NA
31185,808,757,16,0.11111111111111116
32001,1424,1424,0,0
32003,83115,83115,0,0
32005,2563,2559,4,0.008928571428571397
32007,1590,1590,0,0
32009,NA,0,NA,NA
32011,NA,0,NA,NA
32013,659,533,31,0.38749999999999996
32015,251,0,54,Inf
32017,261,12,68,Inf
32019,3123,3123,0,0
32021,371,73,67,Inf
32023,3831,3831,0,0
32027,271,12,66,Inf
32029,189,0,46,Inf
32031,19556,19556,0,0
32033,461,183,65,3.25
32510,3959,3959,0,0
33001,3707,3707,0,0
33003,2832,2832,0,0
33005,3779,3779,0,0
33007,2292,2292,0,0
33009,4293,4293,0,0
33011,17321,17321,0,0
33013,7124,7124,0,0
33015,12766,12766,0,0
33017,5786,5786,0,0
33019,2309,2309,0,0
34001,13885,13885,0,0
34003,36308,36308,0,0
34005,20755,20755,0,0
34007,24330,24330,0,0
34009,6556,6556,0,0
34011,7958,7958,0,0
34013,29955,29955,0,0
34015,13597,13597,0,0
34017,18845,18845,0,0
34019,4546,4546,0,0
34021,14635,14635,0,0
34023,29862,29862,0,0
34025,27853,27853,0,0
34027,19350,19350,0,0
34029,36658,36658,0,0
34031,18761,18761,0,0
34033,3752,3752,0,0
34035,12109,12109,0,0
34037,6217,6217,0,0
34039,19951,19951,0,0
34041,5164,5164,0,0
35001,28948,28948,0,0
35003,220,0,50,Inf
35005,3349,3349,0,0
35006,1298,1298,0,0
35007,720,562,44,0.5432098765432098
35009,2108,2108,0,0
35011,135,0,35,Inf
35013,7990,7990,0,0
35015,2911,2911,0,0
35017,1747,1747,0,0
35019,243,10,55,Inf
35021,NA,0,NA,NA
35023,276,10,58,Inf
35025,2766,2766,0,0
35027,1156,1156,0,0
35028,652,507,44,0.5714285714285714
35029,1529,1529,0,0
35031,3329,3329,0,0
35033,235,0,55,Inf
35035,3126,3126,0,0
35037,601,380,55,0.9322033898305084
35039,2125,2125,0,0
35041,779,696,29,0.24786324786324787
35043,5732,5732,0,0
35045,5462,5462,0,0
35047,1478,1478,0,0
35049,6115,6115,0,0
35051,1239,1222,9,0.04477611940298498
35053,844,778,22,0.17322834645669283
35055,1596,1596,0,0
35057,784,692,34,0.3076923076923077
35059,224,0,53,Inf
35061,3482,3482,0,0
36001,13858,13858,0,0
36003,2469,2469,0,0
36005,48109,48109,0,0
36007,10660,10660,0,0
36009,4301,4301,0,0
36011,3891,3891,0,0
36013,7655,7655,0,0
36015,5139,5139,0,0
36017,2965,2965,0,0
36019,3646,3646,0,0
36021,3439,3439,0,0
36023,2273,2273,0,0
36025,2692,2692,0,0
36027,12671,12671,0,0
36029,49022,49022,0,0
36031,2177,2177,0,0
36033,2369,2369,0,0
36035,3043,3043,0,0
36037,3138,3138,0,0
36039,2640,2640,0,0
36041,307,21,71,Inf
36043,3454,3454,0,0
36045,4607,4607,0,0
36047,79773,79773,0,0
36049,1287,1278,9,0.037815126050420256
36051,2896,2896,0,0
36053,3010,3010,0,0
36055,33799,33799,0,0
36057,2934,2934,0,0
36059,54888,54888,0,0
36061,50189,50189,0,0
36063,12052,12052,0,0
36065,12952,12952,0,0
36067,21906,21906,0,0
36069,5457,5457,0,0
36071,13767,13767,0,0
36073,2114,2114,0,0
36075,5508,5508,0,0
36077,3098,3098,0,0
36079,3596,3596,0,0
