year,month,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
2021,6,6528,217972,0,204775.099,197553.19999999998,204896,212077.1,13196.901,5894.9000000000005,13076,20418.8,0.998,0.06495761836879356,0.027796027410121073,0.0638177420890199,0.10335848947967653,2.021584099264706,0.9030177696078431,2.003063725490196,3.127879901960784,0.932
2021,7,9698,229835,0,208665.802,201383.85,208589.5,216312.4,21169.198,13522.6,21245.5,28451.149999999998,1,0.10199211103497446,0.06251421562024095,0.10185316242275569,0.14127821604721472,2.182841616828212,1.3943699731903485,2.1907094246236336,2.933713136729222,0.994
2021,8,45352,275785,0,208117.798,200563.95,208280.5,215318.55,67667.202,60466.45,67504.5,75221.04999999999,1,0.32578785599190957,0.2808232269546096,0.3241037944387435,0.37504773300741945,1.492044496383842,1.3332697565708238,1.4884569588992766,1.658604912683013,1
2021,9,59084,285190,0,204158.068,196376.5,204165.5,211687.3,81031.932,73502.7,81024.5,88813.5,1,0.3976373868027331,0.34722300395126343,0.39685696163999523,0.4522613493895251,1.3714699749509174,1.2440373028230995,1.3713441879358204,1.5031734479723782,1
2021,10,38681,272932,0,218126.131,210015.85,218120,225986.2,54805.869,46945.8,54812,62916.15,1,0.25187901444670746,0.2077374636330077,0.2512928672589485,0.29957810328432544,1.41686794550296,1.2136656239497428,1.417026447092888,1.6265388692122746,0.999
2021,11,28950,263136,0,218105.833,209834.25,217977,226678.4,45030.167,36457.600000000006,45159,53301.75,1,0.20709240427382553,0.1608340323757639,0.20717323694750922,0.25401835050224214,1.555446183074266,1.2593298791018999,1.5598963730569948,1.841165803108808,1
2021,12,41354,293214,0,237309.133,228810.5,237281,246138.94999999998,55904.867,47075.05,55933,64403.5,1,0.23617384036322298,0.19125396481533724,0.23572473143656678,0.2814709116347536,1.3518611742515838,1.1383433283358322,1.352541471199884,1.55737050829424,0.996
2022,1,72495,342806,0,254660.317,244703.5,254725.5,264205.55,88145.683,78600.45,88080.5,98102.5,1,0.34685839876819047,0.2974973485857086,0.345785954526811,0.4009035559022211,1.2158863783709222,1.0842189116490792,1.2149872404993447,1.3532312573280916,0.997
2022,2,40926,265420,0,223746.235,215317.55000000002,223795,232053.8,41673.765,33366.2,41625,50102.45,1,0.18685512378396749,0.1437865026477224,0.1859961125136844,0.23269097802323055,1.0182711479255242,0.8152812393099742,1.0170796070957338,1.2242205443972045,0.563
2022,3,10981,242132,0,238798.323,229561.05,238556,248405.90000000002,3333.677,-6273.9,3576,12570.949999999995,0.713,0.014546338458688909,-0.025256645397272272,0.014990192427072595,0.054760823492813304,0.3035859211365085,-0.571341407886349,0.3256534013295692,1.1447910026409247,0.091
2022,4,3662,221398,0,220621.465,212315.9,220570,229451.15,776.535,-8053.15,828,9082.099999999999,0.566,0.004088627415321328,-0.03509743961495879,0.0037539104057800654,0.042776353541742196,0.21205215729109775,-2.1991125068268706,0.2261059530311305,2.4800928454396503,0.303
2022,5,4825,228584,0,217824.876,209743.75,217803.5,226538.35,10759.124,2045.65,10780.5,18840.25,0.978,0.04997828198892643,0.009030040464552292,0.04949644978710001,0.08982508420951929,2.2298702590673574,0.42396891191709846,2.234300518134715,3.904715025906736,0.884
2022,6,6238,222156,0,206321.91,198381.6,206387,214384.84999999998,15834.09,7771.1500000000005,15769,23774.399999999998,1,0.07736791734192104,0.036248597166956435,0.07640500976819055,0.11984176263277953,2.5383279897403015,1.2457758897082398,2.527893555626804,3.8112215453671046,0.968
2022,7,8923,232908,0,210030.787,202282.80000000002,210075,217535.09999999998,22877.213,15372.9,22833,30625.2,1,0.10948079559944539,0.07066860277466469,0.10868975368452977,0.15139794389006883,2.5638476969629047,1.7228398520676902,2.558892749075423,3.432164070379917,0.999
2022,8,9338,233130,0,209249.662,201473.5,209290,217022.15,23880.338,16107.85,23840,31656.499999999996,1,0.11469642528662677,0.07422227464785708,0.11390893021798615,0.15712488256411855,2.5573289783679587,1.7249785821375028,2.553009209680874,3.390072820732491,0.999
