stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
20,Kansas,North Central,West North Central,8673,73435,0,62678.118,61527.5,62697,63843.3,10756.882,9591.699999999999,10738,11907.5,1,0.17187644022910595,0.15023816147650393,0.17126816304897213,0.19353134848074607,1.2402723394442523,1.105926438371959,1.2380952380952381,1.3729390061109188,0.985
21,Kentucky,South,East South Central,15022,131779,0,111662.224,109655.8,111663.5,113747.70000000001,20116.776,18031.3,20115.5,22123.2,1,0.18040164769473166,0.15852013064774176,0.18014391455258155,0.2017512981889276,1.339154307016376,1.2003261882572227,1.3390693649314338,1.472720010651045,0.998
22,Louisiana,South,West South Central,14931,126253,0,102201.911,100297.09999999999,102222.5,104068.40000000001,24051.089,22184.600000000002,24030.5,25955.9,1,0.2355857771558288,0.2131732592870288,0.23508033948514828,0.25879013542266466,1.6108156854865716,1.4858080503650124,1.6094367423481346,1.738389926997522,1
23,Maine,Northeast,New England,2381,37723,0,34570.071,33905.9,34557.5,35249.1,3152.929,2473.9,3165.5,3817.1000000000004,1,0.09146690945433773,0.07018335227657985,0.09160095515870623,0.11257922671137784,1.3242036959260814,1.039017219655607,1.3294834103317932,1.6031499370012599,0.923
24,Maryland,South,South Atlantic,13848,131829,0,114010.531,112037.29999999999,113997.5,116065.70000000001,17818.469,15763.3,17831.5,19791.7,1,0.15652039658704134,0.1358135956027834,0.15642009748811697,0.1766527778980642,1.286717865395725,1.1383087810514154,1.287658867706528,1.4292099942229923,0.991
25,Massachusetts,Northeast,New England,16706,149381,0,137271.116,134735.3,137197.5,139844.5,12109.884,9536.5,12183.5,14645.7,1,0.08844477891268797,0.06819360087229741,0.08880263866219176,0.10869980631715713,0.7248823177301569,0.57084281096612,0.7292888782473363,0.8766730515982282,0.011
26,Michigan,North Central,East North Central,29844,267907,0,227652.226,223545.8,227588.5,231940.7,40254.774,35966.299999999996,40318.5,44361.200000000004,1,0.17705935309692117,0.15506679087353495,0.17715526212307936,0.1984434520064629,1.348839766787294,1.205143412411205,1.3509750703659027,1.486436134566412,0.999
27,Minnesota,North Central,West North Central,11446,117354,0,103921.834,102017.4,103865,105881.6,13432.166,11472.4,13489,15336.6,1,0.1294891774195277,0.10835121526227647,0.12987050508716372,0.1503331788159224,1.1735248995282195,1.0023064826140136,1.1784903022890094,1.3399091385636903,0.901
28,Mississippi,South,East South Central,11570,92167,0,73712.737,72384.9,73689.5,75045.1,18454.263,17121.9,18477.5,19782.1,1,0.2506203488294698,0.22815480293147564,0.2507480741207627,0.27329042647823526,1.5950097666378564,1.4798530682800346,1.597018150388937,1.7097752808988762,1
29,Missouri,North Central,West North Central,18570,167381,0,141926.966,139463.9,141885,144655.7,25454.034,22725.3,25496,27917.100000000002,1,0.1795881090107539,0.15709923656844615,0.1796948247373654,0.20017438204993915,1.3707072697899838,1.2237641357027464,1.3729671513193322,1.5033441033925687,0.998
