UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2022,19,4298503,2195634,2102869,1614181,1534072,319539,311429,33761,32312,122693,122330,6294,6045,99166,96681,1704647,1622419,370143,360769,56196,54317,159536,158174,13774,13081,1661282,1589235,1149590,1087134,292397,285886,18008,17357,117181,117032,4426,4264,79680,77562,1222525,1158273,333741,326159,32927,32020,148324,147234,10042,9612,534352,513634,464591,446938,27142,25543,15753,14955,5512,5298,1868,1781,19486,19119,482122,464146,36402,34610,23269,22297,11212,10940,3732,3469
R,7,2022,20,4276232,2183275,2092957,1604147,1525848,323963,316134,33546,31950,120321,119581,6100,5864,95198,93580,1690960,1610945,372349,364315,55665,54022,155407,153499,13252,12848,1655575,1586896,1144639,1085025,297235,290680,18121,17445,114992,114538,4334,4112,76254,75096,1214391,1153592,336754,330055,32760,32205,144526,143090,9771,9412,527700,506061,459508,440823,26728,25454,15425,14505,5329,5043,1766,1752,18944,18484,476569,457353,35595,34260,22905,21817,10881,10409,3481,3436
R,7,2022,21,4350783,2220352,2130431,1626682,1550515,332168,324505,33434,32268,126768,124963,6078,5978,95222,92202,1713220,1634417,380334,371568,56075,54123,161900,158538,13328,13015,1693040,1624627,1167083,1109167,305577,299427,18330,17802,121492,120059,4370,4149,76188,74023,1236438,1176724,344735,337933,33537,32532,151171,148438,9842,9488,527312,505804,459599,441348,26591,25078,15104,14466,5276,4904,1708,1829,19034,18179,476782,457693,35599,33635,22538,21591,10729,10100,3486,3527
R,7,2022,22,4352529,2220463,2132066,1625428,1549444,336373,328666,33841,32444,126163,125065,6258,5885,92400,90562,1709456,1631370,382993,375163,56756,54752,159488,157511,13303,12832,1700392,1634090,1171811,1115314,310342,303719,18750,18012,120949,120174,4489,4196,74051,72675,1239302,1181220,348310,341676,34195,33194,149182,147508,9867,9474,520071,497976,453617,434130,26031,24947,15091,14432,5214,4891,1769,1689,18349,17887,470154,450150,34683,33487,22561,21558,10306,10003,3436,3358
R,7,2022,23,4284496,2183746,2100750,1601843,1530644,328038,321255,32659,31817,125317,123965,6170,5704,89719,87365,1683239,1609690,372954,365684,55170,53971,157683,155048,13349,12464,1680599,1616856,1162991,1108657,302737,297078,18234,17792,120192,119088,4408,4093,72037,70148,1228502,1172249,339420,333497,33665,33055,147529,145157,9896,9272,503147,483894,438852,421987,25301,24177,14425,14025,5125,4877,1762,1611,17682,17217,454737,437441,33534,32187,21505,20916,10154,9891,3453,3192
R,7,2022,24,4276492,2177579,2098913,1593224,1524552,328523,322254,32545,31838,130491,129761,6175,5769,86621,84739,1671514,1601301,371553,364896,54796,53640,161549,159791,12988,12257,1681917,1622965,1160370,1108939,303876,298696,18073,17965,125538,124925,4501,4149,69559,68291,1223358,1170936,339060,333644,33337,33127,151786,150311,9769,9136,495662,475948,432854,415613,24647,23558,14472,13873,4953,4836,1674,1620,17062,16448,448156,430365,32493,31252,21459,20513,9763,9480,3219,3121
R,7,2022,25,4284769,2178058,2106711,1592060,1529291,326825,321839,32247,31260,136729,135845,6211,5707,83986,82769,1667981,1603860,367783,362911,54552,53343,167096,165271,12896,12285,1686444,1635070,1162846,1117060,302508,298848,17854,17588,131773,131094,4505,4142,66958,66338,1223529,1176879,335571,332307,33104,32875,157406,155953,9634,9204,491614,471641,429214,412231,24317,22991,14393,13672,4956,4751,1706,1565,17028,16431,444452,426981,32212,30604,21448,20468,9690,9318,3262,3081
R,7,2022,26,4313566,2194031,2119535,1604261,1537663,326202,322580,32289,31000,142640,142054,6353,5958,82286,80280,1678523,1609942,365692,361738,54760,53006,172497,170952,12955,12489,1704927,1649600,1176555,1126328,302278,299857,18010,17437,137807,137277,4610,4305,65667,64396,1235915,1184396,334188,331674,33424,32728,163095,161725,9735,9429,489104,469935,427706,411335,23924,22723,14279,13563,4833,4777,1743,1653,16619,15884,442608,425546,31504,30064,21336,20278,9402,9227,3220,3060
R,7,2022,27,4391402,2232007,2159395,1624688,1559436,341635,336833,32679,31710,146099,146410,6512,6269,80394,78737,1696692,1629791,379631,375071,55508,53805,175298,174697,13323,12898,1739770,1686552,1193978,1145688,317254,313488,18469,17899,141131,141695,4763,4561,64175,63221,1251442,1202253,347855,344489,34381,33505,165973,165644,10051,9770,492237,472843,430710,413748,24381,23345,14210,13811,4968,4715,1749,1708,16219,15516,445250,427538,31776,30582,21127,20300,9325,9053,3272,3128
R,7,2022,28,4484361,2278930,2205431,1651652,1583566,357798,352825,33302,32588,151504,152230,6546,6447,78128,77775,1721274,1652785,393783,389812,56226,55328,180234,180195,13469,13127,1780697,1728949,1214887,1166581,333056,329146,19100,18606,146687,147445,4820,4756,62147,62415,1270246,1222134,361899,359129,35094,34765,171048,171153,10215,9973,498233,476482,436765,416985,24742,23679,14202,13982,4817,4785,1726,1691,15981,15360,451028,430651,31884,30683,21132,20563,9186,9042,3254,3154
