year,month,COVIDDeathsUCD,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMeanUCD,ratioLowUCD,ratioMedUCD,ratioUpUCD,probPositiveNCExcessUCD,COVIDDeathsMCD,ratioMeanMCD,ratioLowMCD,ratioMedMCD,ratioUpMCD,probPositiveNCExcessMCD
2021,1,96235,347459,0,252887.09,242506.1,252701.5,263903,94571.91,83556,94757.5,104952.9,1,0.374919101136763,0.31661633395267774,0.37497799071072985,0.432784577752617,0.9827184496285136,0.8682495973398451,0.9846469579674756,1.0905897022912665,0.417,105339,0.8977862899780708,0.7932104918406289,0.8995481255755229,0.9963346908552388,0.046
2021,2,42761,259325,0,222043.056,212172.55,221953.5,231815.75,37281.944,27509.25,37371.5,47152.45,1,0.16874802484678578,0.11866860671868042,0.16837536786858054,0.222236335577645,0.8718679170271977,0.6433256939734806,0.8739622553261148,1.1026975515072146,0.175,48458,0.7693661314953155,0.5676926410499814,0.771214247389492,0.97305811217961935,0.022
2021,3,19593,245088,0,236919.557,226779.1,236609.5,247507.25,8168.443,-2419.25,8478.5,18308.9,0.909,0.03517517590686424,-0.00977445959759392,0.03583330543640227,0.08073451245439969,0.4169061909865768,-0.12347522074210177,0.4327310774256112,0.934461287194406,0.033,23218,0.35181510035317426,-0.1041971746059092,0.3651692652252563,0.7885649065380308,0.005
2021,4,15967,230912,0,218639.435,209585.45,218682.5,227798.25,12272.565,3113.7500000000005,12229.5,21326.549999999996,0.982,0.05681240611478484,0.01366890011938859,0.05592354336358422,0.10175587694240988,0.7686205924719735,0.19501158639694371,0.7659234671509989,1.3356641823761506,0.255,18747,0.6546415426468235,0.16609324158532032,0.652344375100016,1.137598015682509,0.128
2021,5,12690,231246,0,215833.943,206685.7,215740.5,224660.65,15412.057,6585.35,15505.5,24560.3,0.997,0.07208587066441186,0.02931243204707694,0.07187106779027945,0.11882921754749748,1.214504097714736,0.5189401103230891,1.2218676122931442,1.935405831363278,0.697,14933,1.032080425902364,0.4409931025246099,1.0383379093283334,1.6446996584745197,0.533
2021,6,6528,217972,0,204602.204,195291.1,204557,213646.4,13369.796,4325.6,13415,22680.9,0.99,0.06609548480697934,0.0202465382731313,0.06558075624727136,0.11613893356105376,2.0480692401960785,0.6626225490196079,2.0549938725490193,3.4744025735294115,0.905,7986,1.674154269972452,0.5416478837966442,1.679814675682444,2.840082644628099,0.853
2021,7,9698,229835,0,208201.309,199366.45,208008.5,217316.95,21633.691,12518.05,21826.5,30468.55,1,0.10466400189456808,0.05760273224635304,0.10493080863314236,0.15282686747562738,2.230737368529594,1.290786760156733,2.250618684264797,3.141735409362755,0.979,11178,1.9353811952048667,1.119882805510825,1.9526301663982824,2.725760422258007,0.965
2021,8,45352,275785,0,207612.775,198898.95,207410,216493.5,68172.225,59291.5,68375,76886.05,1,0.3292525365941054,0.2738719649851585,0.3296610630317862,0.3865583531573885,1.5031801243605574,1.3073624095960488,1.5076512612453694,1.695317736814253,1,48693,1.4000415870864396,1.217659622533013,1.4042059433594152,1.5789959542439365,1
2021,9,59084,285190,0,203873.662,195569.3,203703,212899.25,81316.338,72290.75,81487,89620.7,1,0.3997487000011742,0.3395538058734021,0.4000284761996097,0.45825546274095247,1.376283562385756,1.2235249813824385,1.3791720262676868,1.5168353530566652,1,63301,1.284598000031595,1.1420159239190537,1.287294039588632,1.4157864804663431,1
2021,10,38681,272932,0,217935.307,208858.75,218016.5,226580.6,54996.693,46351.4,54915.5,64073.25,1,0.2531504155859916,0.20456917964542903,0.2518868999502186,0.3067779070102038,1.4218012202373258,1.1982989064398542,1.419702179364546,1.6564527804348388,0.998,42519,1.293461581881041,1.0901338225264,1.2915520120416757,1.5069321950186976,0.985
