stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
13,Georgia,South,South Atlantic,33713,245533,0,199586.02,197067,199526,202167.69999999998,45946.98,43365.3,46007,48466,1,0.23034555893768527,0.21450162427772532,0.23058147921589606,0.24593666113555288,1.3628861270133183,1.2863079524219145,1.3646664491442468,1.437605671402723,1
15,Hawaii,West,Pacific,1679,29261,0,26380.422,25998,26377,26801,2880.578,2460,2884,3263,1,0.10936376263978481,0.09178761986493042,0.109337680555029,0.12550965458881452,1.7156509827278141,1.4651578320428826,1.7176891006551518,1.9434187016081002,1
16,Idaho,West,Mountain,5126,39697,0,34959.086,34399,34971,35485.1,4737.914,4211.9,4726,5298,1,0.135697156172956,0.11869488892062457,0.13514054502301906,0.15401610511933486,0.9242906749902458,0.8216738197424893,0.9219664455715958,1.0335544284042137,0.173
17,Illinois,North Central,East North Central,37400,293424,0,249721.289,246387.7,249764,252967.7,43702.711,40456.299999999996,43660,47036.3,1,0.17513190344967677,0.15992674171532817,0.1748050159350427,0.1909036043760104,1.1685216844919786,1.0817192513368985,1.1673796791443851,1.2576550802139037,0.994
18,Indiana,North Central,East North Central,23929,177003,0,152465.43,150527.3,152480,154516.59999999998,24537.57,22486.4,24523,26475.7,1,0.16106446366811547,0.14552740722223803,0.16082764957773465,0.1758863676851391,1.0254323206151532,0.9397133185674287,1.0248234359981612,1.1064273475698942,0.656
19,Iowa,North Central,West North Central,10140,81068,0,71324.664,70371.7,71338.5,72323.59999999999,9743.336,8744.4,9729.5,10696.300000000001,1,0.13674365050641896,0.12090659273337853,0.13638498285721218,0.15199718087328137,0.9608812623274162,0.8623668639053255,0.959516765285996,1.054861932938856,0.294
20,Kansas,North Central,West North Central,9697,73435,0,62766.769,61907.200000000004,62781,63652.200000000004,10668.231,9782.8,10654,11527.8,1,0.17011281990709842,0.15369146716884582,0.1697010244919872,0.18621097562770458,1.1001578838816128,1.0088480973496958,1.0986903165927606,1.1888006599979377,0.921
21,Kentucky,South,East South Central,17662,131779,0,111811.194,110350.8,111793,113340.6,19967.806,18438.399999999998,19986,21428.2,1,0.17872142323568982,0.16268133425476372,0.1787768465873917,0.19418255240465737,1.1305518061374702,1.0439587815649416,1.1315819273015513,1.213237458951421,0.974
22,Louisiana,South,West South Central,16627,126253,0,102337.648,100966.7,102330,103702.20000000001,23915.352,22550.8,23923,25286.300000000003,1,0.23383376582986526,0.21745729602868902,0.23378285949435065,0.25044197750378927,1.438344379623504,1.356275936729416,1.4388043543633848,1.520797498045348,1
23,Maine,Northeast,New England,2744,37723,0,34622.61,34079.9,34612.5,35160,3100.39,2563,3110.5,3643.1,1,0.08970546134537483,0.0728953356086462,0.08986637798113148,0.10689878793433154,1.1298797376093295,0.9340379008746356,1.133564139941691,1.3276603498542274,0.807
24,Maryland,South,South Atlantic,16331,131829,0,114166.5,112675.29999999999,114143.5,115692.5,17662.5,16136.5,17685.5,19153.7,1,0.1548402745900452,0.13947749594334488,0.15494092964145642,0.16999022896583846,1.0815320555997796,0.9880901353254548,1.0829404200600088,1.1728430592125405,0.875
25,Massachusetts,Northeast,New England,18870,149381,0,137420.477,135610.4,137444.5,139252.8,11960.523,10128.2,11936.5,13770.600000000002,1,0.08715463201132587,0.07273247090622613,0.08684596444475699,0.10154531285411054,0.6338379968203498,0.5367355590885002,0.6325649178590356,0.7297615262321145,0
26,Michigan,North Central,East North Central,34119,267907,0,227954.721,224974.1,228005.5,230763.4,39952.279,37143.6,39901.5,42932.899999999994,1,0.17538913447806215,0.16095966729880776,0.17500235767614852,0.1908348562727386,1.1709686391746534,1.0886485535918402,1.1694803481930889,1.2583282042263841,0.994
27,Minnesota,North Central,West North Central,13765,117354,0,104074.155,102649.9,104067,105458.59999999999,13279.845,11895.4,13287,14704.1,1,0.12772766302179533,0.11279687037554884,0.12767736169967425,0.1432451468632933,0.9647544496912459,0.8641772611696331,0.9652742462767889,1.0682237559026517,0.314
28,Mississippi,South,East South Central,13662,92167,0,73813.166,72824.7,73775.5,74859.5,18353.834,17307.5,18391.5,19342.3,1,0.24880577614584518,0.2311997814172328,0.24929008062170838,0.2656008308665942,1.343422192943932,1.2668350168350169,1.3461791831357048,1.415773678817157,1
29,Missouri,North Central,West North Central,20708,167381,0,142116.477,140288.4,142092,144054.19999999998,25264.523,23326.8,25289,27092.6,1,0.17790663407038168,0.16193072290307253,0.17797624080377666,0.19312074289503905,1.2200368456635118,1.126463202627004,1.221218852617346,1.3083156268108942,0.997
30,Montana,West,Mountain,3576,27549,0,24033.342,23654,24026,24437,3515.658,3112,3523,3895,1,0.14647220073530048,0.1273478741253018,0.1466328144510114,0.16466559567092245,0.9831258389261744,0.8702460850111857,0.985178970917226,1.0892058165548097,0.428
31,Nebraska,North Central,West North Central,5120,44471,0,40087.145,39503.7,40086.5,40693.1,4383.855,3777.9,4384.5,4967.3,1,0.10950951284206908,0.09283883514445837,0.10937597462783327,0.12574265253847336,0.8562216796875,0.7378710937499999,0.85634765625,0.97017578125,0.051
32,Nevada,West,Mountain,11205,72524,0,59126.778,58295.399999999994,59155.5,59943.1,13397.222,12580.900000000001,13368.5,14228.6,1,0.2267406952331607,0.20988070356415534,0.22598913043049612,0.24407757849076053,1.1956467648371263,1.122793395805444,1.1930834448906737,1.269843819723338,1
33,New Hampshire,Northeast,New England,2813,32285,0,29252.214,28809,29264.5,29724.5,3032.786,2560.5,3020.5,3476,1,0.10384235793102489,0.08614106485237871,0.10321379177585491,0.12065673921344025,1.0781322431567721,0.9102381798791326,1.0737646640597227,1.2356914326341983,0.733
34,New Jersey,Northeast,Middle Atlantic,32826,205703,0,178696.392,176476.9,178728.5,181052.5,27006.608,24650.5,26974.5,29226.1,1,0.15125553808422373,0.13615111646687572,0.15092444686555237,0.16560864380511403,0.8227200389934808,0.7509443733625785,0.8217419118991044,0.8903338816791568,0.002
35,New Mexico,West,Mountain,8543,53943,0,41795.2,41166.8,41814.5,42422.5,12147.8,11520.5,12128.5,12776.2,1,0.290835475760853,0.27156579804195446,0.2900548869271825,0.3103520315268458,1.4219594990050333,1.3485309610207188,1.4197003394592063,1.4955167973779702,1
36,New York,Northeast,Middle Atlantic,74656,439638,0,366574.669,361894.2,366532.5,371092.4,73063.331,68545.6,73105.5,77743.8,1,0.19943800044136192,0.1847130258025064,0.19945161757948526,0.2148246661486986,0.9786665639734248,0.918152593227604,0.979231408058294,1.0413603729104157,0.319
37,North Carolina,South,South Atlantic,30444,257061,0,220127.549,217347.69999999998,220166,222901.1,36933.451,34159.9,36895,39713.3,1,0.16790570906241034,0.15325137471491007,0.16757810016078778,0.1827178299230707,1.213160261463671,1.1220568913414795,1.2118972539745105,1.3044705032190251,0.997
38,North Dakota,North Central,West North Central,2432,17078,0,14758.178,14491.900000000001,14749,15039.2,2319.822,2038.8,2329,2586.1000000000004,1,0.15743998675814375,0.13556572338818876,0.15790901078039188,0.17845141129313746,0.953874177631579,0.8383223684210526,0.9576480263157895,1.0633634868421054,0.292
39,Ohio,North Central,East North Central,45465,329917,0,282691.85,279100.4,282796,286346.2,47225.15,43570.8,47121,50816.6,1,0.16717922485690725,0.15216126834949076,0.1666254121911385,0.1820728314885457,1.0387143956889915,0.958337182448037,1.0364236225668098,1.11770812713076,0.726
40,Oklahoma,South,West South Central,17920,113013,0,93047.075,91764.7,93089,94253.4,19965.925,18759.6,19924,21248.3,1,0.21471987838702197,0.1990336690062976,0.21403173321274935,0.23155200214103133,1.114169921875,1.0468526785714285,1.1118303571428572,1.1857310267857142,0.982
41,Oregon,West,Pacific,8099,97805,0,86791.349,85602.6,86777.5,88003,11013.651,9802,11027.5,12202.4,1,0.12703021975804793,0.11138256650341466,0.1270778719048521,0.14254707239290107,1.359877886158785,1.2102728731942216,1.3615878503518952,1.5066551426101986,0.998
42,Pennsylvania,Northeast,Middle Atlantic,47999,351982,0,311707.721,307815.80000000005,311658.5,315565.4,40274.279,36416.6,40323.5,44166.200000000004,1,0.12932473949358747,0.11540111831762398,0.12938360545123065,0.1434825632775749,0.8390649596866602,0.7586949728119335,0.8400904185503865,0.9201483364236756,0.018
44,Rhode Island,Northeast,New England,3676,25931,0,23855.001,23478.9,23863,24247,2075.999,1684,2068,2452.1,1,0.08720699292805367,0.06945189095558213,0.08666135858860999,0.10443845342983317,0.5647440152339499,0.4581066376496192,0.5625680087051143,0.6670565832426552,0
